
SIMULATING FCFS WITHOUT PREEMPTION
Time of transition,PID,Old State,New State
0,1,NEW,READY
0,1,READY,RUNNING
3000,2,NEW,READY
8000,3,NEW,READY
11000,4,NEW,READY
13000,5,NEW,READY
18000,1,RUNNING,TERMINATED
18000,2,READY,RUNNING
25000,2,RUNNING,TERMINATED
25000,3,READY,RUNNING
37000,3,RUNNING,TERMINATED
37000,4,READY,RUNNING
47000,4,RUNNING,TERMINATED
47000,5,READY,RUNNING
56000,5,RUNNING,TERMINATED

THROUGHPUT: 0.000089 processes per ms
AVERAGE TURNAROUND TIME: 29600.00ms
TOTAL WAIT TIME: 9.00ms
AVERAGE WAIT TIME: 1.80ms
